Training Date,Phase,Target Sets,Target Reps per Set,Total Target Push-ups
2025-02-03,Foundation,5,10,50
2025-02-06,Foundation,6,12,72
2025-02-09,Foundation,7,14,98
2025-02-12,Foundation,5,10,50
2025-02-15,Foundation,6,12,72
2025-02-18,Foundation,7,14,98
2025-02-21,Foundation,5,10,50
2025-02-24,Foundation,6,12,72
2025-02-27,Foundation,7,14,98
2025-03-02,Foundation,5,10,50
2025-03-05,Foundation,6,12,72
2025-03-08,Foundation,7,14,98
2025-03-11,Foundation,5,10,50
2025-03-14,Foundation,6,12,72
2025-03-17,Foundation,7,14,98
2025-03-20,Foundation,5,10,50
2025-03-23,Foundation,6,12,72
2025-03-26,Foundation,7,14,98
2025-03-29,Foundation,5,10,50
2025-04-01,Foundation,6,12,72
2025-04-04,Foundation,7,14,98
2025-04-07,Foundation,5,10,50
2025-04-10,Foundation,6,12,72
2025-04-13,Foundation,7,14,98
2025-04-16,Foundation,5,10,50
2025-04-19,Foundation,6,12,72
2025-04-22,Foundation,7,14,98
2025-04-25,Foundation,5,10,50
2025-04-28,Foundation,6,12,72
2025-05-01,Foundation,7,14,98
2025-05-04,Foundation,5,10,50
2025-05-07,Foundation,6,12,72
2025-05-10,Foundation,7,14,98
2025-05-13,Foundation,5,10,50
2025-05-16,Foundation,6,12,72
2025-05-19,Foundation,7,14,98
2025-05-22,Foundation,5,10,50
2025-05-25,Foundation,6,12,72
2025-05-28,Volume Buildup,12,30,360
2025-05-31,Volume Buildup,10,20,200
2025-06-03,Volume Buildup,11,25,275
2025-06-06,Volume Buildup,12,30,360
2025-06-09,Volume Buildup,10,20,200
2025-06-12,Volume Buildup,11,25,275
2025-06-15,Volume Buildup,12,30,360
2025-06-18,Volume Buildup,10,20,200
2025-06-21,Volume Buildup,11,25,275
2025-06-24,Volume Buildup,12,30,360
2025-06-27,Volume Buildup,10,20,200
2025-06-30,Volume Buildup,11,25,275
2025-07-03,Volume Buildup,12,30,360
2025-07-06,Volume Buildup,10,20,200
2025-07-09,Volume Buildup,11,25,275
2025-07-12,Volume Buildup,12,30,360
2025-07-15,Volume Buildup,10,20,200
2025-07-18,Volume Buildup,11,25,275
2025-07-21,Volume Buildup,12,30,360
2025-07-24,Volume Buildup,10,20,200
2025-07-27,Volume Buildup,11,25,275
2025-07-30,Volume Buildup,12,30,360
2025-08-02,Volume Buildup,10,20,200
2025-08-05,Volume Buildup,11,25,275
2025-08-08,Volume Buildup,12,30,360
2025-08-11,Volume Buildup,10,20,200
2025-08-14,Volume Buildup,11,25,275
2025-08-17,Volume Buildup,12,30,360
2025-08-20,Volume Buildup,10,20,200
2025-08-23,Volume Buildup,11,25,275
2025-08-26,Volume Buildup,12,30,360
2025-08-29,Volume Buildup,10,20,200
2025-09-01,Volume Buildup,11,25,275
2025-09-04,Volume Buildup,12,30,360
2025-09-07,Volume Buildup,10,20,200
2025-09-10,Volume Buildup,11,25,275
2025-09-13,Volume Buildup,12,30,360
2025-09-16,Endurance & High-Volume,8,50,400
2025-09-19,Endurance & High-Volume,7,70,490
2025-09-22,Endurance & High-Volume,6,90,540
2025-09-25,Endurance & High-Volume,8,50,400
2025-09-28,Endurance & High-Volume,7,70,490
2025-10-01,Endurance & High-Volume,6,90,540
2025-10-04,Endurance & High-Volume,8,50,400
2025-10-07,Endurance & High-Volume,7,70,490
2025-10-10,Endurance & High-Volume,6,90,540
2025-10-13,Endurance & High-Volume,8,50,400
2025-10-16,Endurance & High-Volume,7,70,490
2025-10-19,Endurance & High-Volume,6,90,540
2025-10-22,Endurance & High-Volume,8,50,400
2025-10-25,Endurance & High-Volume,7,70,490
2025-10-28,Endurance & High-Volume,6,90,540
2025-10-31,Endurance & High-Volume,8,50,400
2025-11-03,Endurance & High-Volume,7,70,490
2025-11-06,Endurance & High-Volume,6,90,540
2025-11-09,Endurance & High-Volume,8,50,400
2025-11-12,Endurance & High-Volume,7,70,490
2025-11-15,Endurance & High-Volume,6,90,540
2025-11-18,Endurance & High-Volume,8,50,400
2025-11-21,Endurance & High-Volume,7,70,490
2025-11-24,Endurance & High-Volume,6,90,540
2025-11-27,Endurance & High-Volume,8,50,400
2025-11-30,Endurance & High-Volume,7,70,490
2025-12-03,Endurance & High-Volume,6,90,540
2025-12-06,Endurance & High-Volume,8,50,400
2025-12-09,Endurance & High-Volume,7,70,490
2025-12-12,Endurance & High-Volume,6,90,540
2025-12-15,Endurance & High-Volume,8,50,400
2025-12-18,Endurance & High-Volume,7,70,490
2025-12-21,Endurance & High-Volume,6,90,540
2025-12-24,Endurance & High-Volume,8,50,400
2025-12-27,Endurance & High-Volume,7,70,490
2025-12-30,Endurance & High-Volume,6,90,540
