Training Date,Phase,Target Sets,Target Reps per Set,Total Target Push-ups
2025-03-10,Foundation,5,10,50
2025-03-13,Foundation,6,12,72
2025-03-16,Foundation,7,14,98
2025-03-19,Foundation,5,10,50
2025-03-22,Foundation,6,12,72
2025-03-25,Foundation,7,14,98
2025-03-28,Foundation,5,10,50
2025-03-31,Foundation,6,12,72
2025-04-03,Foundation,7,14,98
2025-04-06,Foundation,5,10,50
2025-04-09,Foundation,6,12,72
2025-04-12,Foundation,7,14,98
2025-04-15,Foundation,5,10,50
2025-04-18,Foundation,6,12,72
2025-04-21,Foundation,7,14,98
2025-04-24,Foundation,5,10,50
2025-04-27,Foundation,6,12,72
2025-04-30,Foundation,7,14,98
2025-05-03,Foundation,5,10,50
2025-05-06,Foundation,6,12,72
2025-05-09,Foundation,7,14,98
2025-05-12,Foundation,5,10,50
2025-05-15,Foundation,6,12,72
2025-05-18,Foundation,7,14,98
2025-05-21,Foundation,5,10,50
2025-05-24,Foundation,6,12,72
2025-05-27,Foundation,7,14,98
2025-05-30,Foundation,5,10,50
2025-06-02,Foundation,6,12,72
2025-06-05,Foundation,7,14,98
2025-06-08,Foundation,5,10,50
2025-06-11,Foundation,6,12,72
2025-06-14,Foundation,7,14,98
2025-06-17,Foundation,5,10,50
2025-06-20,Foundation,6,12,72
2025-06-23,Foundation,7,14,98
2025-06-26,Foundation,5,10,50
2025-06-29,Foundation,6,12,72
2025-07-02,Volume Buildup,12,30,360
2025-07-05,Volume Buildup,10,20,200
2025-07-08,Volume Buildup,11,25,275
2025-07-11,Volume Buildup,12,30,360
2025-07-14,Volume Buildup,10,20,200
2025-07-17,Volume Buildup,11,25,275
2025-07-20,Volume Buildup,12,30,360
2025-07-23,Volume Buildup,10,20,200
2025-07-26,Volume Buildup,11,25,275
2025-07-29,Volume Buildup,12,30,360
2025-08-01,Volume Buildup,10,20,200
2025-08-04,Volume Buildup,11,25,275
2025-08-07,Volume Buildup,12,30,360
2025-08-10,Volume Buildup,10,20,200
2025-08-13,Volume Buildup,11,25,275
2025-08-16,Volume Buildup,12,30,360
2025-08-19,Volume Buildup,10,20,200
2025-08-22,Volume Buildup,11,25,275
2025-08-25,Volume Buildup,12,30,360
2025-08-28,Volume Buildup,10,20,200
2025-08-31,Volume Buildup,11,25,275
2025-09-03,Volume Buildup,12,30,360
2025-09-06,Volume Buildup,10,20,200
2025-09-09,Volume Buildup,11,25,275
2025-09-12,Volume Buildup,12,30,360
2025-09-15,Volume Buildup,10,20,200
2025-09-18,Volume Buildup,11,25,275
2025-09-21,Volume Buildup,12,30,360
2025-09-24,Volume Buildup,10,20,200
2025-09-27,Volume Buildup,11,25,275
2025-09-30,Volume Buildup,12,30,360
2025-10-03,Volume Buildup,10,20,200
2025-10-06,Volume Buildup,11,25,275
2025-10-09,Volume Buildup,12,30,360
2025-10-12,Volume Buildup,10,20,200
2025-10-15,Volume Buildup,11,25,275
2025-10-18,Volume Buildup,12,30,360
2025-10-21,Endurance & High-Volume,8,50,400
2025-10-24,Endurance & High-Volume,7,70,490
2025-10-27,Endurance & High-Volume,6,90,540
2025-10-30,Endurance & High-Volume,8,50,400
2025-11-02,Endurance & High-Volume,7,70,490
2025-11-05,Endurance & High-Volume,6,90,540
2025-11-08,Endurance & High-Volume,8,50,400
2025-11-11,Endurance & High-Volume,7,70,490
2025-11-14,Endurance & High-Volume,6,90,540
2025-11-17,Endurance & High-Volume,8,50,400
2025-11-20,Endurance & High-Volume,7,70,490
2025-11-23,Endurance & High-Volume,6,90,540
2025-11-26,Endurance & High-Volume,8,50,400
2025-11-29,Endurance & High-Volume,7,70,490
2025-12-02,Endurance & High-Volume,6,90,540
2025-12-05,Endurance & High-Volume,8,50,400
2025-12-08,Endurance & High-Volume,7,70,490
2025-12-11,Endurance & High-Volume,6,90,540
2025-12-14,Endurance & High-Volume,8,50,400
2025-12-17,Endurance & High-Volume,7,70,490
2025-12-20,Endurance & High-Volume,6,90,540
2025-12-23,Endurance & High-Volume,8,50,400
2025-12-26,Endurance & High-Volume,7,70,490
2025-12-29,Endurance & High-Volume,6,90,540
2025-12-29,Endurance & High-Volume,8,50,400
2025-12-29,Endurance & High-Volume,7,70,490
2025-12-29,Endurance & High-Volume,6,90,540
2025-12-29,Endurance & High-Volume,8,50,400
2025-12-29,Endurance & High-Volume,7,70,490
2025-12-29,Endurance & High-Volume,6,90,540
2025-12-29,Endurance & High-Volume,8,50,400
2025-12-29,Endurance & High-Volume,7,70,490
2025-12-29,Endurance & High-Volume,6,90,540
2025-12-29,Endurance & High-Volume,8,50,400
2025-12-29,Endurance & High-Volume,7,70,490
2025-12-29,Endurance & High-Volume,6,90,540
